set,n,result,instance,D,runtime,seed
BBGRL,1000,969,1000_ep0.01_0_gilbert_8.in,5,167.4279,1.5037E+18
BBGRL,1000,960,1000_ep0.01_0_gilbert_8.in,6,167.4294,1.5037E+18
BBGRL,1000,953,1000_ep0.01_0_gilbert_8.in,7,167.6329,1.5037E+18
BBGRL,1000,2,1000_ep0.01_0_gilbert_8.in,8,56.6385,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_8.in,9,14.5346,1.5037E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_8.in,10,13.9357,1.5037E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_10.in,1,58.4238,1.5037E+18
BBGRL,1000,989,1000_ep0.01_0_gilbert_10.in,2,167.1573,1.5037E+18
BBGRL,1000,983,1000_ep0.01_0_gilbert_10.in,3,167.1565,1.5037E+18
BBGRL,1000,976,1000_ep0.01_0_gilbert_10.in,4,167.2203,1.5037E+18
BBGRL,1000,970,1000_ep0.01_0_gilbert_10.in,5,167.4967,1.5037E+18
BBGRL,1000,965,1000_ep0.01_0_gilbert_10.in,6,167.3509,1.5037E+18
BBGRL,1000,958,1000_ep0.01_0_gilbert_10.in,7,167.4392,1.50371E+18
BBGRL,1000,953,1000_ep0.01_0_gilbert_10.in,8,167.2468,1.50371E+18
BBGRL,1000,941,1000_ep0.01_0_gilbert_10.in,9,170.1584,1.50371E+18
BBGRL,1000,2,1000_ep0.01_0_gilbert_10.in,10,38.6869,1.50371E+18
BBGRL,1000,993,1000_ep0.01_0_gilbert_3.in,1,58.3064,1.50371E+18
BBGRL,1000,987,1000_ep0.01_0_gilbert_3.in,2,167.1471,1.50371E+18
BBGRL,1000,981,1000_ep0.01_0_gilbert_3.in,3,167.8606,1.50371E+18
BBGRL,1000,976,1000_ep0.01_0_gilbert_3.in,4,167.9417,1.50371E+18
BBGRL,1000,965,1000_ep0.01_0_gilbert_3.in,5,167.2218,1.50371E+18
BBGRL,1000,2,1000_ep0.01_0_gilbert_3.in,6,60.4433,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_3.in,7,11.7625,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_3.in,8,11.5097,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_3.in,9,11.8559,1.50371E+18
BBGRL,1000,1,1000_ep0.01_0_gilbert_3.in,10,11.5622,1.50371E+18
BBGRL,1000,994,1000_ep0.01_0_gilbert_6.in,1,62.2879,1.50371E+18
BBGRL,1000,988,1000_ep0.01_0_gilbert_6.in,2,167.2121,1.50371E+18
BBGRL,1000,982,1000_ep0.01_0_gilbert_6.in,3,167.1994,1.50371E+18
BBGRL,1000,975,1000_ep0.01_0_gilbert_6.in,4,167.1609,1.50371E+18
BBGRL,1000,969,1000_ep0.01_0_gilbert_6.in,5,167.2318,1.50371E+18
BBGRL,1000,964,1000_ep0.01_0_gilbert_6.in,6,167.3103,1.50371E+18
BBGRL,1000,958,1000_ep0.01_0_gilbert_6.in,7,170.6476,1.50371E+18
BBGRL,1000,952,1000_ep0.01_0_gilbert_6.in,8,167.2023,1.50371E+18
BBGRL,1000,944,1000_ep0.01_0_gilbert_6.in,9,167.2161,1.50E+18
BBGRL,1000,932,1000_ep0.01_0_gilbert_6.in,10,167.4875,1.50371E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_5.in,1,52.3351,1.50371E+18
BBGRL,1000,990,1000_ep0.0125_0_gilbert_5.in,2,167.6262,1.50371E+18
BBGRL,1000,984,1000_ep0.0125_0_gilbert_5.in,3,167.2286,1.50371E+18
BBGRL,1000,979,1000_ep0.0125_0_gilbert_5.in,4,167.3783,1.50371E+18
BBGRL,1000,975,1000_ep0.0125_0_gilbert_5.in,5,167.2468,1.50371E+18
BBGRL,1000,968,1000_ep0.0125_0_gilbert_5.in,6,167.2599,1.50371E+18
BBGRL,1000,963,1000_ep0.0125_0_gilbert_5.in,7,170.7755,1.50371E+18
BBGRL,1000,957,1000_ep0.0125_0_gilbert_5.in,8,167.39,1.50371E+18
BBGRL,1000,952,1000_ep0.0125_0_gilbert_5.in,9,170.0024,1.50371E+18
BBGRL,1000,3,1000_ep0.0125_0_gilbert_5.in,10,147.1128,1.50371E+18
BBGRL,1000,995,1000_ep0.0125_0_gilbert_9.in,1,47.5472,1.50371E+18
BBGRL,1000,989,1000_ep0.0125_0_gilbert_9.in,2,167.3976,1.50371E+18
BBGRL,1000,984,1000_ep0.0125_0_gilbert_9.in,3,167.2239,1.50371E+18
BBGRL,1000,980,1000_ep0.0125_0_gilbert_9.in,4,167.481,1.50371E+18
BBGRL,1000,974,1000_ep0.0125_0_gilbert_9.in,5,167.2585,1.50371E+18
BBGRL,1000,969,1000_ep0.0125_0_gilbert_9.in,6,167.5134,1.50371E+18
BBGRL,1000,962,1000_ep0.0125_0_gilbert_9.in,7,167.3566,1.50371E+18
BBGRL,1000,958,1000_ep0.0125_0_gilbert_9.in,8,167.2081,1.50371E+18
BBGRL,1000,952,1000_ep0.0125_0_gilbert_9.in,9,167.2969,1.50371E+18
